           1
         312
   1615656.00000000        1650763.90000000        1686486.40000000     
   1722848.80000000        1756274.10000000        1783750.20000000     
   1815213.80000000        1847439.90000000        1880532.40000000     
   1914610.50000000        1948469.40000000        1982501.40000000     
   2017782.40000000        2050122.40000000        2086745.30000000     
   2123354.20000000        2155241.50000000        2188960.10000000     
   2221415.20000000        2255676.70000000        2291943.90000000     
   2323658.40000000        2360369.70000000        2399240.70000000     
   2432728.00000000        2464283.50000000        2498655.70000000     
   2532325.50000000        2567868.40000000        2602314.80000000     
   2638834.90000000        2670413.20000000        2701538.90000000     
   2733854.00000000        2769984.40000000        2804225.90000000     
   2841574.10000000        2866106.10000000        2896503.70000000     
   2930100.80000000        2963899.90000000        3002523.10000000     
   3027382.20000000        3058736.00000000        3086954.00000000     
   3122995.60000000        3154140.20000000        3181713.50000000     
   3212431.60000000        3245853.90000000        3279596.80000000     
   3304041.70000000        3331505.60000000        3362794.90000000     
   3395080.70000000        3417612.90000000        3448263.70000000     
   3478364.00000000        3506183.80000000        3528256.80000000     
   3557704.20000000        3584862.50000000        3609050.10000000     
   3631926.20000000        3665256.90000000        3682813.30000000     
   3709067.70000000        3732556.90000000        3756564.80000000     
   3776091.70000000        3804560.30000000        3825167.40000000     
   3846415.00000000        3871478.20000000        3893138.50000000     
   3910617.50000000        3934848.90000000        3956658.70000000     
   3973831.80000000        4000817.00000000        4016558.10000000     
   4038899.50000000        4058263.60000000        4074904.20000000     
   4090490.40000000        4113211.80000000        4127820.60000000     
   4143352.50000000        4167199.80000000        4176675.30000000     
   4193658.60000000        4211058.00000000        4222573.50000000     
   4238288.50000000        4255108.70000000        4269341.90000000     
   4279476.30000000        4297218.20000000        4308215.10000000     
   4316389.20000000        4334180.20000000        4342917.60000000     
   4352242.10000000        4366804.70000000        4377559.10000000     
   4385059.20000000        4395243.10000000        4405477.40000000     
   4414724.20000000        4418914.40000000        4426799.30000000     
   4438235.30000000        4442749.90000000        4447062.90000000     
   4454953.80000000        4461855.50000000        4465766.30000000     
   4469153.00000000        4473372.80000000        4478047.20000000     
   4483962.40000000        4486524.10000000        4488755.60000000     
   4491373.40000000        4496343.90000000        4501309.60000000     
   4504889.00000000        4507836.70000000        4512656.80000000     
   4518342.60000000        4524513.50000000        4531297.90000000     
   4538361.10000000        4543765.40000000        4550196.90000000     
   4558343.70000000        4567503.90000000        4576825.10000000     
   4586274.30000000        4596819.20000000        4606941.40000000     
   4617296.50000000        4628398.70000000        4641225.50000000     
   4654815.80000000        4668640.80000000        4682659.90000000     
   4697448.10000000        4712829.60000000        4728167.90000000     
   4744175.00000000        4760838.40000000        4779124.90000000     
   4797806.50000000        4816928.10000000        4836524.60000000     
   4856709.90000000        4877815.60000000        4899024.90000000     
   4920324.90000000        4941813.80000000        4965751.20000000     
   4991258.10000000        5018174.40000000        5045519.90000000     
   5073544.80000000        5102131.10000000        5131302.70000000     
   5160975.30000000        5190971.70000000        5221347.30000000     
   5252132.50000000        5283280.90000000        5314683.20000000     
   5347112.70000000        5382914.80000000        5419556.10000000     
   5457025.10000000        5495531.60000000        5534690.30000000     
   5574621.70000000        5614954.60000000        5655748.80000000     
   5697453.80000000        5740112.30000000        5783665.50000000     
   5828081.60000000        5873385.40000000        5919615.30000000     
   5966273.30000000        6012640.00000000        6053825.40000000     
   6096624.60000000        6140831.00000000        6186271.60000000     
   6232955.90000000        6281034.10000000        6330619.90000000     
   6381640.10000000        6432990.30000000        6483717.50000000     
   6533613.40000000        6582423.30000000        6630075.40000000     
   6676613.10000000        6722122.80000000        6766448.10000000     
   6810347.60000000        6812197.90000000        6812547.50000000     
   6813075.70000000        6813743.40000000        6814660.70000000     
   6815589.50000000        6817023.40000000        6818786.90000000     
   6820883.70000000        6823192.60000000        6825601.50000000     
   6828105.20000000        6830299.70000000        6833037.70000000     
   6835905.60000000        6838948.60000000        6842243.90000000     
   6845879.50000000        6849267.80000000        6853622.80000000     
   6858499.00000000        6863871.20000000        6869623.40000000     
   6875097.00000000        6881444.00000000        6888221.00000000     
   6895472.00000000        6903307.30000000        6911793.60000000     
   6920334.60000000        6929519.90000000        6939064.60000000     
   6948984.60000000        6959249.90000000        6969460.70000000     
   6980465.60000000        6991923.30000000        7003708.30000000     
   7015958.80000000        7028412.80000000        7041694.70000000     
   7055543.20000000        7069980.70000000        7084950.40000000     
   7099858.40000000        7115624.70000000        7131882.50000000     
   7148557.20000000        7165658.50000000        7182596.60000000     
   7200277.10000000        7218481.50000000        7237211.30000000     
   7256531.40000000        7275578.50000000        7295785.20000000     
   7316754.50000000        7338608.90000000        7361282.60000000     
   7383737.20000000        7407508.60000000        7432170.50000000     
   7457519.50000000        7482977.10000000        7510153.70000000     
   7538502.50000000        7567185.40000000        7596396.10000000     
   7627136.40000000        7658267.30000000        7690385.60000000     
   7723424.10000000        7756312.00000000        7791060.10000000     
   7826770.70000000        7863552.20000000        7901396.20000000     
   7940806.50000000        7981943.00000000        8024645.40000000     
   8068852.40000000        8115539.20000000        8164478.10000000     
   8216306.80000000        8270440.70000000        8329699.30000000     
   8394067.20000000        8467380.00000000        8550896.00000000     
   8646783.90000000        8756796.70000000        8888979.80000000     
   9037790.50000000        9210967.00000000        9404907.60000000     
   9618114.00000000        9852756.40000000        10115327.0000000     
   10404366.0000000        10730208.0000000        11103366.0000000     
   11518291.0000000        11950073.0000000        12354177.0000000     
   1802605200.00000        1762872200.00000        1723784300.00000     
   1685322600.00000        1654026300.00000        1626804600.00000     
   1598842900.00000        1570738300.00000        1542491400.00000     
